abell_id,ra,dec,richness_class,distance_class,bm_type,redshift
Abell 557,294.45,12.72,0,,II,0.0473
Abell 558,37.00,6.77,0,2,I-II,0.2673
Abell 559,60.31,34.65,2,4,II-III,0.1114
Abell 560,175.18,0.30,1,4,II,0.2720
Abell 561,227.32,-26.30,1,,I-II,0.0705
Abell 562,30.17,16.40,0,3,I,0.1565
Abell 563,325.36,34.55,2,,III,0.0822
Abell 564,100.15,83.74,1,6,I,0.1888
Abell 565,76.65,17.69,1,,I,
Abell 566,189.79,36.79,1,5,,0.1578
Abell 567,325.38,16.93,1,,,
Abell 568,82.84,18.60,1,6,III,
Abell 569,105.11,48.60,0,5,I,0.0196
Abell 570,297.46,17.03,0,5,II-III,0.0980
Abell 571,325.31,56.99,0,6,,0.0433
Abell 572,111.40,21.75,1,4,,0.3118
Abell 573,10.02,31.56,1,7,II-III,0.1143
Abell 574,269.54,6.87,0,4,II,0.1755
Abell 575,89.20,3.44,0,3,II,0.2880
Abell 576,110.38,55.77,1,4,I,0.0389
Abell 577,293.09,76.38,1,5,I-II,0.2790
Abell 578,330.36,75.91,1,6,,
Abell 579,62.26,2.32,1,6,III,0.2093
Abell 580,165.20,30.31,1,4,III,0.3265
Abell 581,12.65,84.06,0,1,I,0.1224
Abell 582,335.59,31.77,0,4,II,0.3015
Abell 583,197.63,20.41,0,,I-II,0.2012
Abell 584,20.10,77.68,1,5,II-III,0.1780
Abell 585,143.39,86.10,0,3,I-II,
Abell 586,18.67,35.46,0,5,I,0.0982
Abell 587,75.62,85.87,2,5,II,
Abell 588,202.06,58.96,1,5,II,0.2339
Abell 589,94.98,38.04,0,7,III,0.0766
Abell 590,190.72,-13.94,1,5,I,
Abell 591,123.49,20.73,3,4,,0.2363
Abell 592,224.75,70.84,2,3,,0.3262
Abell 593,268.25,25.72,2,4,II-III,0.0708
Abell 594,164.42,42.86,1,5,,
Abell 595,98.32,74.14,1,5,III,0.0662
Abell 596,208.53,15.00,0,4,III,0.2052
Abell 597,181.04,12.40,1,5,II-III,0.1144
Abell 598,260.52,40.70,0,5,,0.0491
Abell 599,25.86,14.48,0,6,,0.1782
Abell 600,209.31,26.56,1,,I-II,0.1331
Abell 601,262.29,85.28,0,2,,
Abell 602,210.00,26.88,3,5,III,0.1404
Abell 603,341.62,-3.25,3,,III,0.2447
Abell 604,346.50,53.17,2,4,I,0.3181
Abell 605,256.17,-11.43,2,5,I,0.2556
Abell 606,339.61,58.64,0,4,II-III,0.2828
Abell 607,28.07,-8.84,1,4,II-III,0.3125
Abell 608,191.55,31.26,1,5,II,0.2363
Abell 609,65.87,8.77,2,7,III,0.2231
Abell 610,78.13,58.18,0,6,I-II,0.2224
Abell 611,164.64,-8.48,0,,II,0.3348
Abell 612,131.57,41.90,1,5,II-III,
Abell 613,7.02,-23.80,2,5,,0.3389
Abell 614,302.55,17.72,0,3,I-II,0.2710
Abell 615,153.62,74.08,1,5,,0.2265
Abell 616,321.34,77.19,1,6,,0.1366
Abell 617,159.28,31.26,2,3,I-II,0.0637
Abell 618,217.44,-26.46,1,6,II,0.1044
Abell 619,145.03,41.34,2,7,II,
Abell 620,24.55,4.05,0,5,,0.1345
Abell 621,88.33,1.18,0,4,I,0.2230
Abell 622,209.50,26.00,3,3,II-III,0.0192
Abell 623,27.45,50.22,1,5,II-III,0.1866
Abell 624,65.14,62.98,1,,II,0.1752
Abell 625,188.28,26.50,1,6,,0.2374
Abell 626,57.09,31.59,0,,I,0.2926
Abell 627,247.58,15.93,2,5,III,
Abell 628,60.94,-9.62,1,6,I,0.2335
Abell 629,104.17,-17.25,0,6,II,0.1716
Abell 630,267.53,16.51,0,5,I-II,0.3042
Abell 631,121.66,63.79,0,,I,0.2063
Abell 632,88.43,85.81,0,4,,0.1519
Abell 633,307.85,62.77,0,,III,0.1520
Abell 634,124.64,58.08,0,4,III,0.0268
Abell 635,15.39,53.04,0,6,II,0.2641
Abell 636,261.84,71.94,1,5,,0.3388
Abell 637,254.29,55.24,3,6,II,0.0670
Abell 638,301.59,-17.58,1,4,II-III,0.2230
Abell 639,220.09,11.40,0,2,II-III,0.2064
Abell 640,313.65,54.67,0,6,,0.1671
Abell 641,167.32,-21.12,1,6,II-III,0.0634
Abell 642,124.20,83.32,1,,II-III,0.1569
Abell 643,273.98,33.89,3,4,I-II,0.1028
Abell 644,97.25,11.98,2,4,II-III,0.2006
Abell 645,112.29,86.30,1,4,II,0.1658
Abell 646,229.64,1.61,2,4,III,0.0661
Abell 647,238.06,61.42,2,7,II-III,0.2996
Abell 648,189.08,-18.38,1,,I,
Abell 649,225.99,-10.59,0,5,III,0.1642
Abell 650,316.03,28.61,1,7,I-II,0.0654
Abell 651,77.77,19.49,0,,I,0.1408
Abell 652,6.15,-19.79,1,6,I,
Abell 653,117.54,73.24,1,4,I,0.3144
Abell 654,317.15,49.83,1,6,,
Abell 655,184.67,-17.53,1,5,I,0.3227
Abell 656,214.19,15.52,1,5,I-II,0.2961
Abell 657,201.99,22.74,2,,I-II,0.3366
Abell 658,85.54,79.99,0,3,III,0.1200
Abell 659,301.18,-0.12,1,6,I-II,0.0384
Abell 660,216.06,41.13,1,1,I,0.0649
Abell 661,333.45,10.07,0,5,I,
Abell 662,293.47,32.32,0,6,I-II,0.2529
Abell 663,298.23,67.13,1,3,II,0.3101
Abell 664,142.60,80.24,0,3,III,
Abell 665,131.25,65.85,2,5,III,0.1819
Abell 666,342.59,49.28,0,5,II,0.0549
Abell 667,196.68,-11.04,1,7,III,
Abell 668,19.82,38.10,0,6,,0.2984
Abell 669,181.11,73.74,1,4,I,0.1244
Abell 670,27.16,65.39,0,6,II,0.1720
Abell 671,309.24,12.01,0,7,II,0.1618
Abell 672,103.53,65.76,1,5,,0.1763
Abell 673,104.15,37.69,0,1,II-III,0.0560
Abell 674,72.25,34.25,3,6,I,0.1101
Abell 675,315.38,-4.58,1,3,III,0.0868
Abell 676,314.48,1.12,2,,II-III,0.2666
Abell 677,118.34,-12.48,0,4,II,0.0245
Abell 678,183.82,16.03,1,4,II,0.2537
Abell 679,141.35,74.76,1,,,0.3496
Abell 680,122.15,56.54,2,6,III,0.1444
Abell 681,2.36,55.34,0,5,III,0.1903
Abell 682,235.44,-18.37,0,6,II,
Abell 683,0.93,47.16,1,4,I,0.0414
Abell 684,89.05,30.19,1,3,III,0.0588
Abell 685,0.11,22.60,0,5,I-II,
Abell 686,185.70,-18.46,0,4,,0.1017
Abell 687,265.36,48.69,0,,I,0.2243
Abell 688,189.12,-9.63,1,5,I,0.1481
Abell 689,11.69,64.40,2,,II-III,0.3225
Abell 690,246.82,79.28,0,2,II,0.2549
Abell 691,60.33,-7.27,0,5,I,
Abell 692,145.53,89.52,0,2,I,
Abell 693,130.12,38.21,1,,II,0.1223
Abell 694,343.12,51.23,0,5,I,0.1074
Abell 695,84.36,-4.20,0,5,III,0.3242
Abell 696,254.17,-20.87,0,6,II,0.3450
Abell 697,340.90,28.18,0,5,III,0.3161
Abell 698,352.68,-10.94,3,5,I-II,
Abell 699,34.70,63.67,0,,I-II,
Abell 700,197.98,42.08,1,5,III,0.3077
Abell 701,33.29,56.29,0,6,III,0.1296
Abell 702,162.21,21.22,0,6,III,0.3109
Abell 703,284.75,68.40,3,,I-II,0.0397
Abell 704,149.69,38.75,4,6,II,
Abell 705,220.27,49.27,1,5,II-III,0.0425
Abell 706,109.03,20.36,3,,II-III,0.0708
Abell 707,102.93,11.58,1,6,,0.1966
Abell 708,37.01,56.21,0,7,I,
Abell 709,279.31,55.77,0,6,,0.3161
Abell 710,146.02,-18.26,0,2,III,0.1480
Abell 711,42.88,18.83,0,4,I-II,0.2634
Abell 712,110.44,50.31,0,3,II-III,0.1350
Abell 713,255.50,58.13,1,5,II,0.3016
Abell 714,1.26,10.87,0,4,I-II,0.2702
Abell 715,96.44,33.23,1,3,II-III,
Abell 716,194.67,-4.88,0,,,0.2212
Abell 717,21.68,-23.92,0,5,I,0.2109
Abell 718,157.13,-17.74,2,6,I,0.2622
Abell 719,148.11,56.95,0,,III,
Abell 720,40.05,7.36,4,5,III,0.1128
Abell 721,188.49,70.86,1,4,II,0.2987
Abell 722,117.61,54.59,2,5,I-II,0.1303
Abell 723,226.82,-1.06,1,4,,0.0779
Abell 724,256.05,1.14,0,1,II,0.0298
Abell 725,100.18,69.36,0,4,II,0.3252
Abell 726,53.60,19.60,1,6,II-III,
Abell 727,182.01,19.23,1,4,I-II,0.0266
Abell 728,93.10,35.13,3,,I,0.0316
Abell 729,195.64,66.51,4,6,,0.0823
Abell 730,264.77,68.20,0,1,I,0.2104
Abell 731,178.59,25.08,1,6,,0.3258
Abell 732,117.18,19.93,1,5,III,0.3168
Abell 733,344.46,20.23,2,3,II-III,0.1991
Abell 734,299.34,18.62,0,5,I-II,0.2388
Abell 735,157.67,29.79,3,3,II,
Abell 736,319.73,69.50,4,5,,
Abell 737,114.35,85.15,4,5,II-III,0.1770
Abell 738,45.59,86.26,1,5,I-II,0.1517
Abell 739,13.01,9.62,0,6,II,0.2323
Abell 740,235.47,-20.07,0,2,I,0.1438
Abell 741,276.73,40.21,0,3,III,0.0298
Abell 742,140.59,56.41,0,7,II-III,0.1760
Abell 743,195.81,-4.32,1,2,II,0.0304
Abell 744,310.13,12.89,2,,,
Abell 745,16.45,4.26,2,,I,0.2087
Abell 746,101.27,-20.48,1,1,II-III,0.2616
Abell 747,209.21,55.07,0,4,III,0.2935
Abell 748,202.77,-0.37,1,,III,0.3316
Abell 749,71.49,2.73,1,5,I-II,
Abell 750,266.07,70.13,1,4,,0.2613
Abell 751,268.41,74.63,0,3,I,0.0861
Abell 752,219.17,18.24,3,5,III,0.2714
Abell 753,327.74,22.12,0,,II,
Abell 754,137.32,-9.69,2,3,I-II,0.0542
Abell 755,98.94,20.15,1,1,II,0.0378
Abell 756,208.55,-22.18,1,,II,0.0548
Abell 757,184.50,74.23,2,6,III,0.2618
Abell 758,288.33,47.04,0,5,,0.0631
Abell 759,64.59,79.53,1,,II,0.2207
Abell 760,151.20,42.50,1,6,II-III,0.3192
Abell 761,323.13,43.50,1,5,I,0.2401
Abell 762,54.84,-26.60,1,3,I-II,0.0545
Abell 763,167.33,40.24,0,3,I-II,0.0451
Abell 764,290.01,18.26,1,5,II,0.3337
Abell 765,275.46,29.79,2,4,II-III,0.2054
Abell 766,323.30,69.94,0,1,II,0.2680
Abell 767,158.96,-26.54,3,3,I-II,0.2187
Abell 768,160.18,-26.43,2,4,,0.3082
Abell 769,152.60,7.79,0,7,II,
Abell 770,296.95,55.06,0,4,I,0.1712
Abell 771,40.68,25.68,1,4,,0.0457
Abell 772,173.49,5.11,2,5,II,0.1396
Abell 773,148.48,28.72,0,5,I,
Abell 774,59.92,26.51,1,6,II-III,0.3112
Abell 775,224.58,17.87,1,5,I-II,0.2952
Abell 776,222.62,10.40,3,2,I-II,0.2295
Abell 777,135.92,27.94,0,3,II,0.2615
Abell 778,94.67,30.78,0,6,,0.0237
Abell 779,139.95,33.76,0,5,I,0.0230
Abell 780,140.10,-12.09,1,2,I,0.0539
Abell 781,158.64,47.10,0,5,III,0.0324
Abell 782,65.48,46.13,0,,I-II,0.1209
Abell 783,345.25,32.07,0,5,I-II,0.0771
Abell 784,113.84,38.40,0,4,I,0.1090
Abell 785,136.06,42.39,3,1,III,
Abell 786,58.17,3.40,0,5,II-III,0.3099
Abell 787,254.38,11.30,1,7,II,
Abell 788,333.81,-19.87,1,5,I-II,0.2547
Abell 789,119.72,-22.57,0,6,III,0.2248
Abell 790,200.83,59.27,1,,I,0.2697
Abell 791,241.07,-17.73,0,5,I-II,0.2028
Abell 792,218.38,4.96,1,5,I-II,0.1924
Abell 793,213.80,22.91,0,6,II,0.1259
Abell 794,46.00,49.97,1,5,,0.1237
Abell 795,131.77,37.11,0,5,I-II,0.0253
Abell 796,154.36,-12.08,0,5,II-III,0.0432
Abell 797,356.20,86.94,1,4,I-II,0.0853
Abell 798,87.04,30.19,0,5,I-II,0.2776
Abell 799,2.90,-13.59,0,3,III,0.1282
Abell 800,144.87,84.05,0,5,III,0.2728
Abell 801,227.58,-6.01,0,3,,0.1860
Abell 802,12.03,8.43,1,6,I,0.1005
Abell 803,142.58,66.52,0,2,II,0.2241
Abell 804,177.87,88.03,0,2,II-III,
Abell 805,264.56,15.89,0,6,III,0.0184
Abell 806,290.49,-24.61,0,,II,0.1539
Abell 807,264.44,86.15,0,4,III,
Abell 808,194.68,-5.67,1,,I,0.0787
Abell 809,204.95,85.65,1,5,II,0.3450
Abell 810,307.01,22.32,1,5,,0.0345
Abell 811,98.64,83.52,1,4,I-II,0.2469
Abell 812,251.56,75.16,1,4,I,0.1020
Abell 813,187.06,56.48,1,5,II-III,0.3355
Abell 814,94.28,61.49,0,3,I-II,0.2886
Abell 815,118.60,74.64,1,5,I-II,0.2301
Abell 816,270.91,79.62,0,3,I,0.1641
Abell 817,153.48,40.08,1,5,III,
Abell 818,148.18,-24.90,0,5,I-II,0.3383
Abell 819,133.37,24.16,2,4,I,0.2559
Abell 820,286.11,6.84,0,6,II,0.1232
Abell 821,333.96,63.42,0,4,I,0.1598
Abell 822,28.87,85.02,2,,III,
Abell 823,192.57,-12.26,3,4,III,0.1596
Abell 824,71.91,62.33,0,5,III,0.1468
Abell 825,103.48,-3.57,0,4,I-II,0.0830
Abell 826,223.09,6.79,1,5,III,
Abell 827,46.04,58.18,2,3,III,0.1921
Abell 828,86.74,11.84,3,5,II,0.2337
Abell 829,236.11,38.82,0,3,I-II,0.3340
Abell 830,91.96,23.74,1,5,II-III,0.3499
Abell 831,83.11,68.53,0,6,I-II,0.1531
Abell 832,9.13,-4.50,1,5,I-II,0.1064
Abell 833,57.46,58.11,2,5,III,0.1038
Abell 834,240.68,-11.29,1,,III,0.0854
Abell 835,49.39,2.16,1,2,,0.2772
Abell 836,73.08,5.55,2,5,III,0.2221
Abell 837,196.63,85.49,1,5,II,
Abell 838,39.56,-26.77,1,6,II,0.1747
Abell 839,165.40,19.99,0,7,III,0.2727
Abell 840,345.90,4.22,1,3,II-III,0.2243
Abell 841,218.49,16.52,0,5,I,0.2449
Abell 842,128.12,-5.64,3,5,I-II,0.1911
Abell 843,291.99,39.23,1,1,,0.2166
Abell 844,194.26,-8.35,3,6,I-II,0.1045
Abell 845,147.15,35.71,2,6,I,0.1442
Abell 846,319.46,38.24,0,6,II-III,0.1014
Abell 847,110.45,18.91,1,4,I,0.0714
Abell 848,311.01,17.21,0,5,I-II,0.1048
Abell 849,281.36,-3.70,1,4,,0.0873
Abell 850,194.26,47.34,0,4,I,0.0928
Abell 851,147.07,46.99,0,4,III,0.0560
Abell 852,310.48,87.84,0,6,II-III,0.2886
Abell 853,64.62,47.91,3,5,II,0.1616
Abell 854,213.38,2.14,2,3,II,0.0695
Abell 855,252.01,-2.97,1,4,II-III,0.0234
Abell 856,221.30,51.24,0,5,III,0.1359
Abell 857,127.17,75.83,1,4,II,0.1134
Abell 858,212.60,52.72,2,7,I-II,0.0713
Abell 859,181.50,73.19,3,4,,0.3384
Abell 860,355.12,51.80,1,5,III,0.2634
Abell 861,162.27,80.40,3,4,,0.3010
Abell 862,285.90,59.83,0,5,II-III,0.0915
Abell 863,318.53,11.20,0,4,I-II,0.0753
Abell 864,52.07,62.47,0,6,III,0.1852
Abell 865,120.90,8.56,0,5,,0.2199
Abell 866,119.61,-7.22,1,5,II-III,
Abell 867,231.45,38.21,1,7,I-II,0.2454
Abell 868,142.32,50.60,1,,II-III,0.2192
Abell 869,230.38,4.81,1,4,III,0.1866
Abell 870,72.06,41.73,1,,I-II,0.1289
Abell 871,80.22,31.47,0,2,I,0.2036
Abell 872,41.44,11.93,1,3,I-II,
Abell 873,27.74,28.55,0,2,II-III,0.1708
Abell 874,167.62,51.08,0,3,II-III,0.2863
Abell 875,54.21,-24.58,0,5,,0.3200
Abell 876,161.40,-22.27,5,4,II-III,
Abell 877,265.12,20.79,1,5,II-III,0.2245
Abell 878,332.05,-2.04,0,5,I,0.2655
Abell 879,150.95,73.60,1,4,I,
Abell 880,106.26,18.36,1,5,I-II,0.0596
Abell 881,349.17,-22.04,4,5,II-III,0.1021
Abell 882,49.99,85.96,2,5,,
Abell 883,12.02,58.04,5,6,,0.3113
Abell 884,85.73,-22.81,1,3,I,0.1307
Abell 885,92.33,65.21,1,6,I-II,0.0309
Abell 886,162.07,56.39,2,,III,0.1071
Abell 887,215.48,10.72,1,6,I-II,0.3200
Abell 888,344.30,40.49,1,5,I,0.1198
Abell 889,253.25,22.72,0,3,I-II,0.3330
Abell 890,238.01,88.12,0,6,I,
Abell 891,194.08,5.60,0,4,I-II,0.3290
Abell 892,30.74,-7.58,1,5,I,0.2758
Abell 893,40.43,38.41,0,6,III,0.1822
Abell 894,113.96,-18.00,2,2,II-III,0.3232
Abell 895,316.26,79.17,0,3,I,0.0477
Abell 896,248.32,63.67,3,5,I-II,
Abell 897,257.92,24.79,0,4,I,0.3306
Abell 898,261.85,0.08,1,4,II,0.0430
Abell 899,66.84,66.23,1,7,II-III,0.2322
Abell 900,213.57,30.16,3,,I-II,0.3197
Abell 901,124.50,-14.67,2,3,II-III,0.0579
Abell 902,326.93,7.83,2,5,III,0.0663
Abell 903,186.53,21.75,2,,,0.1150
Abell 904,207.43,-20.45,3,,I-II,0.1629
Abell 905,44.05,-1.29,0,5,II,0.2758
Abell 906,334.35,7.67,1,7,I-II,0.2883
Abell 907,14.97,-0.21,0,4,III,
Abell 908,349.03,44.22,2,3,II,0.3426
Abell 909,215.43,-26.21,0,7,I,0.0146
Abell 910,10.62,55.33,0,5,I,0.0926
Abell 911,12.61,42.45,2,7,II-III,0.2194
Abell 912,348.35,58.92,0,3,I-II,0.0869
Abell 913,92.77,48.01,0,6,I,0.1791
Abell 914,18.57,-6.59,2,2,II-III,0.2657
Abell 915,326.92,54.77,0,6,III,0.1213
Abell 916,317.19,17.59,0,5,II-III,0.3168
Abell 917,185.84,58.08,2,2,I-II,0.2277
Abell 918,2.37,-5.59,0,5,I,0.1188
Abell 919,193.63,6.69,1,3,III,0.3250
Abell 920,226.54,50.71,3,,I,0.2918
Abell 921,186.33,79.85,0,6,I-II,0.2368
Abell 922,46.40,25.38,1,5,II,
Abell 923,353.80,34.21,0,5,I-II,0.0634
Abell 924,168.28,24.80,1,,I,
Abell 925,47.35,87.67,0,6,,0.1822
Abell 926,192.72,57.63,1,4,II-III,0.1261
Abell 927,316.24,-2.31,1,5,I-II,
Abell 928,33.37,48.83,1,,III,0.0180
Abell 929,278.21,-22.20,1,6,I,0.1673
Abell 930,82.52,45.52,2,3,,0.2634
Abell 931,290.18,39.31,1,5,III,0.2926
Abell 932,158.67,2.00,1,6,,0.1820
Abell 933,63.51,31.28,0,6,II,0.3051
Abell 934,149.61,8.74,0,7,II,
Abell 935,100.36,-4.51,1,4,III,0.2209
Abell 936,230.34,40.71,2,5,II-III,0.1031
Abell 937,193.97,13.91,0,6,III,
Abell 938,32.79,-20.18,3,,I-II,
Abell 939,2.46,-17.16,0,6,III,0.2963
Abell 940,39.07,89.55,0,4,I-II,0.0500
Abell 941,62.89,62.87,1,4,I,0.1229
Abell 942,79.94,74.57,0,6,I-II,0.2260
Abell 943,211.67,74.36,0,5,III,
Abell 944,170.99,77.26,0,5,I,0.0754
Abell 945,168.29,82.74,0,4,II,0.0686
Abell 946,279.68,0.56,3,,III,0.3025
Abell 947,300.62,54.46,2,6,III,0.1260
Abell 948,89.22,23.09,1,6,II-III,0.1612
Abell 949,58.47,-24.79,0,,III,0.2413
Abell 950,57.87,60.94,1,7,III,0.0503
Abell 951,159.04,66.88,0,5,,
Abell 952,294.31,-3.03,1,6,II-III,0.0949
Abell 953,147.25,28.35,0,4,III,0.0466
Abell 954,304.08,5.12,1,4,III,0.1375
Abell 955,264.64,81.25,1,4,III,0.2202
Abell 956,197.42,51.93,2,6,I,0.1391
Abell 957,153.41,-0.93,1,4,I,0.0450
Abell 958,82.91,23.67,4,6,I,0.1021
Abell 959,325.07,20.62,0,4,,0.1329
Abell 960,43.80,21.37,2,,III,0.0445
Abell 961,177.06,-17.63,1,4,III,0.2228
Abell 962,156.43,-20.27,1,3,II,0.0430
Abell 963,246.01,45.38,2,5,II-III,0.2081
Abell 964,5.55,-25.20,0,4,I,0.3173
Abell 965,94.06,23.88,4,5,,0.2279
Abell 966,13.87,43.31,0,6,I-II,0.2354
Abell 967,193.27,3.02,5,,I,0.0582
Abell 968,133.94,-5.47,0,6,I-II,0.3371
Abell 969,332.43,57.61,1,2,III,
Abell 970,258.21,-14.18,2,7,II-III,0.2080
Abell 971,51.02,16.12,1,7,II,0.2990
Abell 972,224.60,30.12,1,3,II-III,0.3188
Abell 973,236.59,36.25,0,4,I,0.0624
Abell 974,213.59,79.77,0,5,I,0.1102
Abell 975,353.57,75.60,1,5,,
Abell 976,110.67,75.58,2,6,II-III,
Abell 977,124.48,-15.97,1,3,,0.0217
Abell 978,155.65,-6.62,0,4,I,0.0540
Abell 979,322.55,84.08,1,3,II-III,0.2291
Abell 980,294.63,6.58,1,3,I-II,0.2138
Abell 981,170.87,9.36,0,7,III,0.1047
Abell 982,156.83,79.64,1,4,III,0.2052
Abell 983,61.98,31.13,1,3,II,0.0594
Abell 984,171.01,75.92,0,6,,0.2343
Abell 985,38.21,-15.71,2,6,I,0.3212
Abell 986,186.92,64.44,0,6,II-III,0.0506
Abell 987,178.74,-24.67,0,5,II-III,
Abell 988,67.61,48.87,1,,I-II,
Abell 989,83.64,84.37,0,4,II,
Abell 990,355.48,72.42,3,7,III,0.0898
Abell 991,220.98,-12.61,1,6,,0.0657
Abell 992,183.49,20.93,1,6,,0.2455
Abell 993,159.84,-20.06,1,4,II-III,0.2924
Abell 994,69.83,-17.13,1,5,II-III,0.2982
Abell 995,189.04,-1.12,0,6,I,0.3109
Abell 996,124.36,85.54,3,5,I-II,
Abell 997,44.42,20.47,2,5,II,0.2785
Abell 998,313.38,38.75,1,7,I,0.2604
Abell 999,157.59,12.84,0,5,I-II,0.0320
Abell 1000,68.64,27.81,4,,III,
Abell 1001,338.43,-22.69,1,4,,0.0903
Abell 1002,30.05,13.66,0,,I-II,0.2445
Abell 1003,302.32,70.40,2,6,I-II,0.3105
Abell 1004,309.49,-0.20,3,5,II,0.2963
Abell 1005,246.96,30.88,1,5,II,0.3355
Abell 1006,152.47,12.52,3,4,III,0.0476
Abell 1007,183.07,68.10,1,,III,0.1516
Abell 1008,14.41,39.84,2,5,III,0.1754
Abell 1009,219.76,34.44,1,5,III,0.1622
Abell 1010,281.45,44.58,0,5,I,0.0534
Abell 1011,34.82,14.32,0,5,I-II,0.0148
Abell 1012,93.10,24.37,0,5,I-II,
Abell 1013,89.09,20.55,1,,II,
Abell 1014,154.61,8.23,1,6,II,0.0306
Abell 1015,208.02,46.16,4,6,I-II,0.0992
Abell 1016,158.86,10.99,0,4,I,0.0320
Abell 1017,24.91,7.32,1,6,II,0.1739
Abell 1018,218.35,37.32,3,5,III,0.1813
Abell 1019,111.48,73.34,0,4,,0.0823
Abell 1020,291.72,-12.48,1,6,III,0.1160
Abell 1021,276.09,70.47,2,5,I-II,0.2871
Abell 1022,184.07,33.06,1,6,II,0.3479
Abell 1023,162.19,52.84,2,5,I-II,0.3278
Abell 1024,14.40,57.30,2,,III,0.1388
Abell 1025,243.37,10.56,1,,I,
Abell 1026,252.10,46.33,2,,II,
Abell 1027,134.66,43.60,1,6,II,0.0243
Abell 1028,280.07,21.26,0,3,II,0.2118
Abell 1029,103.73,60.37,0,,III,0.0121
Abell 1030,8.32,38.28,0,5,III,0.1508
Abell 1031,154.98,6.05,1,5,,0.1990
Abell 1032,326.74,-8.48,1,4,III,0.3224
Abell 1033,43.66,-8.63,1,4,II-III,0.2122
Abell 1034,82.52,23.30,0,5,II-III,0.0776
Abell 1035,15.26,15.30,1,3,I-II,0.3154
Abell 1036,220.57,-24.17,0,5,I,0.0145
Abell 1037,134.11,-18.39,0,5,I-II,0.1711
Abell 1038,112.91,83.18,2,3,III,0.0547
Abell 1039,204.02,10.33,0,5,I-II,0.1164
Abell 1040,235.80,18.89,0,6,III,0.2299
Abell 1041,72.13,70.88,0,5,,0.3440
Abell 1042,44.73,80.07,2,,II,0.1916
Abell 1043,137.14,69.29,1,,,0.2167
Abell 1044,60.83,45.23,1,5,II-III,
Abell 1045,109.45,78.38,0,5,,
Abell 1046,274.52,58.81,1,4,III,
Abell 1047,163.08,3.09,0,5,I-II,0.0135
Abell 1048,52.39,87.72,3,6,,0.1500
Abell 1049,62.88,25.59,0,2,II,0.2923
Abell 1050,18.95,-23.45,1,5,I-II,
Abell 1051,151.47,77.71,2,5,II-III,
Abell 1052,344.59,71.25,3,6,I,0.1858
Abell 1053,241.56,-24.86,0,4,,0.1695
Abell 1054,325.40,74.09,0,4,II,
Abell 1055,42.40,-19.49,2,4,II-III,0.0965
Abell 1056,37.13,5.86,1,7,III,0.1612
Abell 1057,74.67,37.59,2,4,I,0.1832
Abell 1058,3.85,41.98,2,5,I,0.3059
Abell 1059,338.57,-17.81,0,,,0.0337
Abell 1060,159.18,-27.53,1,1,III,0.0114
Abell 1061,93.05,-11.05,1,5,II-III,0.3389
Abell 1062,154.60,60.53,3,4,I-II,0.1277
Abell 1063,24.11,1.92,3,4,I-II,0.1999
Abell 1064,309.62,-3.80,1,,II-III,0.3302
Abell 1065,330.44,12.84,0,5,,0.1054
Abell 1066,47.72,77.55,2,5,III,
Abell 1067,272.57,31.83,4,5,III,0.3026
Abell 1068,37.50,-14.72,1,1,II-III,
Abell 1069,205.41,83.49,0,7,I,0.0348
Abell 1070,45.23,1.60,1,3,III,0.0930
Abell 1071,212.01,21.40,3,3,III,0.1946
Abell 1072,205.99,16.05,0,6,III,0.0489
Abell 1073,227.92,88.04,0,5,I,
Abell 1074,20.97,23.75,0,4,I,0.2215
Abell 1075,210.82,21.24,1,4,II-III,
Abell 1076,156.33,-13.40,4,5,II-III,0.0959
Abell 1077,166.00,42.34,1,5,I,
Abell 1078,328.77,6.13,1,6,I-II,0.0131
Abell 1079,170.58,-5.28,1,5,II-III,0.2636
Abell 1080,106.09,-12.85,3,5,I-II,0.1723
Abell 1081,245.10,64.32,2,3,II,0.2336
Abell 1082,97.45,-2.18,1,1,I,
Abell 1083,42.73,30.37,1,4,I,0.0883
Abell 1084,161.09,-7.07,0,5,I-II,0.0710
Abell 1085,41.07,60.54,1,1,I,0.2754
Abell 1086,8.23,57.02,0,5,I,0.0788
Abell 1087,279.02,63.61,0,6,I-II,0.0443
Abell 1088,140.67,78.05,0,4,II-III,0.1246
Abell 1089,146.98,12.37,0,3,I,0.2732
Abell 1090,98.00,15.79,2,5,I-II,0.1752
Abell 1091,215.87,46.47,2,4,III,0.2488
Abell 1092,235.12,71.35,2,5,,0.1669
Abell 1093,146.91,-8.51,1,4,I-II,0.1028
Abell 1094,169.63,33.88,2,3,I-II,0.1805
Abell 1095,212.15,38.91,1,,,
Abell 1096,212.91,2.80,1,3,I-II,0.2835
Abell 1097,254.03,88.09,2,5,II-III,0.2436
Abell 1098,352.56,50.84,2,7,I-II,
Abell 1099,50.67,40.34,1,5,I-II,
Abell 1100,142.51,-12.78,0,2,,0.1239
Abell 1101,344.00,81.45,0,5,II-III,0.1718
Abell 1102,298.12,-2.63,2,2,I-II,0.2287
Abell 1103,294.11,-8.17,0,5,I,
Abell 1104,256.18,-0.38,1,5,I,0.3287
Abell 1105,231.96,45.27,1,5,II-III,0.1450
Abell 1106,72.67,23.03,2,7,I-II,0.3246
Abell 1107,356.11,-24.41,4,2,III,0.1813
Abell 1108,317.10,-13.84,1,5,,
Abell 1109,329.37,-9.72,1,1,II-III,0.3325
Abell 1110,298.45,0.90,0,1,II-III,0.3109
